Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
86..3.9...7...94.6..35...7.....7.3................5..4.9.7.6...53.4...9...28..7.5,26,42,13,0,0,0,0,0,0,Easy,
........8.19.6.7...7.29.....9.....268.....5...4........27.8..5.1.672.8.99.4.56..1,29,52,7,0,0,0,0,2,2,Expert,
15.3.9.....4..69.3.6...8.51.42....39...5...6.......4..68.....1...52.....2.16...9.,28,51,18,2,2,3,0,3,2,Expert,
938.54........7.........1.....39..5.1.36.8.......1.....4.......37.5.....51...3.49,24,40,17,0,0,0,0,0,0,Easy,
..6....2.59...87.3....59.....37..84.2.....3..8..49...2.2.647.8.4..........5......,26,45,15,0,0,2,0,3,2,Expert,
9..5.....1..9...3.75...8........3..4.81..5...4.7..9....6...45..3.5.....1......86.,24,46,11,0,0,0,0,0,0,Easy,
.69..57.2.......595........4..7.6..8.7.....1..152.8.7.79.....2...86.7......5..8..,27,25,29,0,0,0,0,0,0,Easy,
........1.3.......6...97...1...4...9....7....4.51..6..7..8.5..334.....6..8.43.9..,24,48,18,1,0,2,0,2,2,Expert,
.3...127...4..7.6..2..3...46..9......4.8..6.........9..1.6....92...1.38......2...,24,50,7,2,0,0,0,0,0,Intermediate,
......8.2...9......15..6.4.7.1..9.68.58......96...........64.91....28..7..21..4.5,27,107,12,3,1,2,1,10,12,Expert,
...7....8.......7.9.3.5...48....52...1.23...5.3....71.4......89.5.......18.9.....,24,44,12,2,0,0,0,1,0,Expert,
..7..3.....2...9...9...8..2...6...2...8...473.....4....3...6.5.....2...6.69.4.8..,23,45,19,3,0,4,0,3,2,Expert,
.37.6....98.....7.....3...2.9..5.........4...563.9.....7.38.........946.2..4..93.,25,47,9,0,0,0,0,0,0,Easy,
..61.42..9...6...74....9.8...7..6......97....89...3..6.3........1.62...3..9...7.2,26,161,26,2,0,2,1,17,30,Expert,
4.75.8.1..31.46.....81.76........5.9.167.5..........6....9...5.......17..8....4..,26,43,12,0,0,0,0,0,0,Easy,
1....5..8.857.1....74...3........7.......9....1.32.......5...94.3..4.....2.17....,23,45,13,0,0,0,0,0,0,Easy,
.1.9.8..6..2.1.7..6.9.7.1......43....4...2....9.......2..4...3...4.2198....78...2,27,39,15,0,0,0,0,0,0,Easy,
28...1..3....2..4...4..5.....8.5......321.6.5.6.437.......8.5...2.67..8..4.......,26,31,22,1,0,1,0,2,0,Expert,
.2.145...1.5...9...........51.47..82..7.6.4....8.2.......81.....84..2...9...5...7,26,39,16,0,0,0,0,0,0,Easy,
1......7394....1..........5..6..5...8..6.7.....7....4..5.7.6....6.8.93..3....4.87,25,87,18,1,0,1,1,5,4,Expert,
.6.1..4.5........7..4........3.1...4..5.47.23.....2....4..2..1.2.9.7..5.6...953..,26,34,21,0,0,0,0,0,0,Easy,
.2...31.51...4....5.72....3..8..5...7.....4..6.4.....1...75.63...........4.6.2.7.,25,36,20,0,0,0,0,0,0,Easy,
..1...52.5.41.3.......8.3.....364.8..9..........2....3..9........6.35.4..5.8.69..,25,33,22,2,1,0,1,1,0,Expert,
28......4......8.....3.6...14......9..7...34..3..2...8....4..9.6198....7.726.....,25,40,16,0,0,1,2,0,0,Intermediate,
.....1...946.5..........2..7.1923..5.......2..9...71.....4.2...5......763745.....,25,75,11,0,1,1,2,3,2,Expert,
..4.8.....8.6....9...7.952..2...........5.67......74.5..3...7..6........59...3...,22,33,26,0,0,0,0,0,0,Easy,
.15....7.7.6...2..28........6.8.......4.5..6.5......23.3..7.8...4..15..7...2...4.,25,60,10,5,1,1,0,2,2,Expert,
..7.6....3..7....9.5..9..83784...1....6.....8.91...5.....8...61....5.........4...,23,51,7,0,0,0,0,0,0,Easy,
....9....6..1.2..9...673..239.75....7.2.1........2.41.26.....51.57........9......,26,42,12,0,0,0,0,1,0,Expert,
....975...3..8..6...9..4.18....4.68..6.....51.47......9.4.......5.......87..5...4,25,45,11,3,0,0,0,0,0,Intermediate,
.3....2..8.4.3..96...41..5.38.......2.......4.5.1.9...9....41.....2........8.63..,24,53,4,0,0,0,0,0,0,Easy,
.1....3.5......621..2......1..3.54.7.6.1.7....8......2..6.7...3.5.2..84....6...1.,26,34,19,1,0,0,0,2,0,Expert,
9....8..5..26...7.5..7.....8...51..6.27..45.1...2..9.8..8......29.......15......9,26,51,3,0,0,0,0,1,0,Expert,
.....75......9...8.6.....1...9..2......1..27...87.31.5.....59..8...7.....5...13.6,24,48,17,2,0,1,0,3,2,Expert,
7....96...62..8.13.3....7.........8652..6...9.......7....3..2.1...87....2....5.3.,25,59,16,3,1,2,0,4,4,Expert,
..1.7..6.2....4.7....2918..549..62..6.7.....5.2.......96...7.24...5....6.52...7..,29,61,11,1,1,1,1,2,2,Expert,
...35...948.2.9..3....4...15329...........8...96......1.8......3......4.....13..2,24,42,15,2,0,2,1,0,0,Intermediate,
......32.....6..417.3.5.......1.56....2.......514.7..857..3....31...6..........6.,24,38,19,0,0,0,0,0,0,Easy,
49.5.2...5..1...697........28........5147..2......16............7..4..1....685..2,25,41,15,0,0,0,0,0,0,Easy,
.......315...3....37.8....97..28...5....97....2.1.5..7.....4..2..9.....4...5.1.73,26,41,14,0,0,0,0,0,0,Easy,
.....748618.52.....3.6...5.61.38............7.......3.2...56..85.....32.8.....7..,26,43,12,0,0,0,0,0,0,Easy,
2..47.9.3........8.7.9.3..54..72..1..9..................2..1.....7...4...3....859,23,46,12,0,0,0,0,0,0,Easy,
7..9......6.....47...18...........73.9...8.....6.94..2..9.62...4287........4.1...,24,32,24,0,0,0,0,1,0,Expert,
...6..9.1..1.29..3..........7.3..8..5.92.8...3...7..9579....3184.3...7.2..2..7...,29,34,17,0,0,1,0,1,0,Expert,
2.4.5....1...28.45.6..41..9.9...58..7.8.......5.........7....9.....62...42.....7.,25,52,13,1,0,0,0,2,2,Expert,
.......34....5..8.2.5..........65...5.6.8.4.7.1..742.58.4..........2.8.317.......,25,80,12,3,1,2,0,9,8,Expert,
95.......3.........2...43....9..2....3.....1..8..536..14..8...2..2.4.8.......65.3,24,36,21,2,0,4,0,0,0,Intermediate,
..............29.....17..633..9.728...8......12..56.....37.865.8...1..7..6..3....,26,106,15,3,1,2,0,11,16,Expert,
...6...2.1..9..4...3.....81.....18.7..8.37...2......3......96......2.9...13.8....,23,38,20,0,0,0,0,0,0,Easy,
1.3.74.2....268.7....3..8...62.....14........7.8.....2..1..34.6.4...2..8.96......,27,48,6,0,0,0,0,0,0,Easy,
.....153...85.4.1.6..8...2..4.........64.........13...2.96...515......64..3.2.9..,26,51,4,0,0,0,0,0,0,Easy,
2.6.3..98.....9..23..17...69.2......16.....8...58........9.15.3.3..2...16.1......,27,46,8,2,0,0,0,0,0,Intermediate,
9.......86.....9....2...7.5...85.47.35..4....8.46....9.89..63.2.......6....5.....,25,36,20,1,0,3,0,0,0,Intermediate,
591..8......4...29........3.8....2..1.......49.4..1....75...4..8...1.35.2....9..7,25,64,9,2,0,0,0,4,6,Expert,
......7..7.....6344.6.1.9.....3.4.........39..3.9.5....7.....1252...9...3....15..,25,41,15,1,0,0,0,0,0,Intermediate,
.2.1...87.......9...42..5....9.....1.57.......3.9.7....927..4.3.........1...43..8,24,45,12,0,0,0,0,0,0,Easy,
....79.4...14.........3..7..4.7.8.....9..5.....29...3..2..5...31...8729..5......7,25,66,16,0,0,0,0,7,6,Expert,
9....7.....4..17......82..38...3.6.1.4.....8..31.....2..8.....7.12...86.6.....29.,26,34,20,2,0,1,0,1,0,Expert,
834..7....75.....4...1.......65...38.51.3..26....4...7.........46......5..362....,25,63,16,2,0,4,0,4,2,Expert,
..198.............5..41....7..5..31....3..4....3.97..2..5..1.3..487..2.5.9.......,25,39,17,0,0,0,0,0,0,Easy,
.1.8.2.9...2...1.77..19..6.5.8.....6.2..3.....73.2...9....1..3......5.8.........1,25,49,7,0,0,0,0,0,0,Easy,
.5.....64.....5...14....72...9.8.6.....9.........7..122..5.7..8...6...4.....42...,23,42,16,0,0,0,0,0,0,Easy,
.2.9........746...9....5...6....7.9.87...4..6..9..28..35..6...8.....9.....7.3...4,25,35,21,0,0,2,0,0,0,Intermediate,
6......98..328...15.1..9.......2....3...5.1.9164.......1.6.....9.....8.2..53.2...,26,41,14,0,0,0,0,0,0,Easy,
..8..4...........6.....19...291...8.6......15..725....1..5....7.8.......74..6.5..,23,48,10,0,0,0,0,0,0,Easy,
.4..81..752...7.9.8.1....3...4....19..2............345.1.....24..8.4.7.1....5....,26,38,17,0,0,0,0,0,0,Easy,
9...2.5.........181....7.2......84.76.5........14.....4...5...9..........5286.7..,23,40,18,2,0,0,0,0,0,Intermediate,
.5........8..4.9..3........9.5.634.16...1.79....8.7.6.........3..15...4.4........,23,45,13,0,0,0,0,0,0,Easy,
..6.2.1..........2.......9....5.....7..2..965..896...76.5.9.3...3.7...1...7..18..,25,47,9,0,0,0,0,0,0,Easy,
.......6...5........152....4.3....91........72...51.4.1..7....6..93....2.6.94..13,25,54,2,0,0,0,0,0,0,Easy,
6..8.39.23...9...42......7......9....94..2.17.1.......4.29.7.....73.82...6...4...,27,41,13,0,0,0,0,0,0,Easy,
...61.......528..........3...8..4.52.1..5....4.7.6.....4....1...7148.5...237....8,26,50,5,0,0,0,0,0,0,Easy,
.9.6.8...5.4..27.6....4.8............41....25.6..1.49....7.....4.82.....61.8.42..,27,39,14,1,0,2,0,1,0,Expert,
......392...7.2...5.9..6..81..2.59.....6..1.5....37.6...39...8......1...6.....7..,25,48,8,0,0,0,0,0,0,Easy,
7..43....5....8....829.1...321....8....1.4.....9...2...385...4....2...1..5.3.....,25,42,14,0,0,0,0,0,0,Easy,
3...196.....4.......52.7........5.21..31...5.....6..........74.74...15..2...4..13,25,52,4,0,0,0,0,0,0,Easy,
8..26.1.5......3..4..3.87..168.5..7..4581...3...........75..............5....2..8,25,42,14,0,0,0,0,0,0,Easy,
..2584...5...9.....38.......93.......857...4....4..2....9..........3.8.5..79623..,25,50,6,1,0,0,0,0,0,Intermediate,
..52...9.49...1.83.26.495.....89........1246.5........2...8.1.63..........1...9..,27,44,10,0,0,0,0,0,0,Easy,
.......8.274.......59.12.3...594..7.....7.29..8.1.5.....2...4..3......1...8.3....,25,40,15,1,1,3,0,1,0,Expert,
...5..6..23....15.1.9...2...6.7..3..39...1.2.5..3.....91..6.....7.93.....2..85...,27,43,11,0,0,0,0,0,0,Easy,
.5..43..18...17.....7..2.6.1.4.7....37.8241............23..8...........75.......6,25,40,16,0,0,0,0,0,0,Easy,
5.....4...1......63...2...14..7...1.6..5.3.72...9..53..4...9.....2.6.....5.....6.,24,48,9,0,0,1,0,0,0,Intermediate,
...5.7...8...4.9...4...92......8.7.65..6..3.4........56.....5..28.....6..9..3..7.,24,42,15,0,0,0,0,0,0,Easy,
85....6..6..5..2.8.....3..............4.9.5....8..4...9..4...2..6.2.8..5.1..36..4,24,42,15,3,0,0,0,0,0,Intermediate,
27.6.5....5.89.....8...2.......5...8.6.9.......1....946.72....9..4..9.......8...7,24,43,14,0,0,0,0,0,0,Easy,
9.1.6.4..28..............86..2...9.3..3..827.67........39............8977....6..4,25,50,6,0,0,0,0,0,0,Easy,
....5....4..6..23.168........5.2......6...49.81...5....2....946...4....2......15.,24,56,21,0,0,4,0,4,4,Expert,
.6..2...3...4.59.2...3.8....5.61.3....42..5.68.....1..31.9.......8........9..1...,25,52,15,0,3,3,0,2,2,Expert,
45....1...8.97..42.2.8....5..7.1.....4.....59..26....48..1.9.....4....8..........,24,35,22,0,0,0,0,0,0,Easy,
.1......5..83.167.6...58..9....96.8..7.........35..2.....6........7.351..3.....9.,25,53,3,0,0,0,0,0,0,Easy,
..96.41.5.3..7...67.6......85...6.91.......48..75..3........6...1....98....8.7...,26,54,1,0,0,0,0,0,0,Easy,
..41...2915....3..........5.325.8..6..62.3...9..........3....825...2.934......5..,26,35,19,2,0,0,0,1,0,Expert,
.3...2.7.9.7.3.6........5...7.....8.5...89.36.9.6.72.5.........2.....1688...1..9.,27,41,13,0,0,1,0,0,0,Intermediate,
.....51..4....8......4..6......96.7.....5...4.5.3....9.638.7.1.1.......85........,22,50,9,0,0,0,0,0,0,Easy,
......9......74.6..6....7.2957...62.8......9.........518..46...6..2.9..4.4....15.,26,49,16,1,2,2,0,2,2,Expert,
.85.6..2.7...4..83....9....5.2...7........5...9...2....4..89.7.6...35..4...4....6,25,44,12,0,0,0,0,0,0,Easy,
4.1......8..1....5.2...........3.4..5..78.3.224.....8.1....5......8....1.68....4.,23,31,26,0,0,0,0,1,0,Expert,
...........3....5....2...37..45...6.6.5.1..4...87.4.1..3.4...254.6.3.1.......2...,25,61,14,1,0,2,1,2,2,Expert,
5...1..34......18.....4.9...1..67.4.7.......6...85......46..3..1...93475.....5...,26,43,12,0,0,0,0,0,0,Easy,
28...39..1.68.2..39.......5.....4....31..6.92....1..6.3685.....4....8.5..........,26,49,6,0,0,0,0,0,0,Easy,
..46..9......1...87....3.41.5.8....6............795.....9.8...4...1..683..7.4.5..,25,51,5,1,0,0,0,0,0,Intermediate,
.....2.18.2...39..5.3......6.......79..615...3...7.8.....85......81....2........3,23,85,20,2,0,2,1,8,8,Expert,
......6..4..21...51.7.6...9.73..........3..54...1...9..39.......4.....7..1237.4..,25,40,16,0,0,0,0,0,0,Easy,
.3..9.1.......6..3.9..5.2..1.5....7..67.2...5...8...........58..21......6.....3.9,23,39,19,0,0,0,0,0,0,Easy,
.6.5.....43.......7...........8.3.41..47.69.535.9..7...9.6....7.....46....13.7..9,27,40,14,0,0,0,0,0,0,Easy,
..82..54.4.51..7.9...54.......3...8.........7....8...3.82.5......3.19......72.85.,26,44,14,0,0,0,0,2,2,Expert,
......5....1.....456...219........593..6.....62..7......3....4...91.42.71..7.....,24,57,22,2,0,0,0,4,4,Expert,
4..5.2....9....6..75............3...6..2.413..2.971........7.5.2.7......31.46....,25,44,12,0,0,0,0,0,0,Easy,
5.49......73......9....7.5.83...1...7653.8.....1......3.8..6..51.68.9.7....5..4..,28,45,8,1,0,0,0,0,0,Intermediate,
9....3.2..43...865.6....1.969...5....8.1....4.........1..29......85.........81.5.,25,60,10,5,1,1,1,3,2,Expert,
.4...5.68......25.7.....4......385..9..6...8..6..97..45.....83.....6........7...9,24,44,13,1,0,3,0,0,0,Intermediate,
.3..5.428.......3.4....1.5.....4....8.2...7.....3.7....86..4...74....2...537.2.1.,26,29,26,0,0,0,0,0,0,Easy,
.....3.5.7.........6.2.....2..67...1......82...3...9...2.58.7..8......96...369..5,24,37,19,2,0,0,0,1,0,Expert,
....1...2..78....4......76...4....291.6..84...8.....317..42..1..4..6.....2......3,25,36,20,1,0,0,0,0,0,Intermediate,
429......7...91.48..8.......7.9...5.8.173..2.2.......43......9....2.5.3.........1,25,42,14,0,0,0,0,0,0,Easy,
1.7643....92...........7.1..347.8...9..1.....2.6.94...7.....3....3.16..........26,26,50,5,0,0,0,0,0,0,Easy,
...4.9.579.5.734......1..8.35.........1........4..5...8.3..7.9...9..63....63.45..,27,41,11,1,1,1,0,2,0,Expert,
4....798.39...6.7......83..9..3..26.1.....7......7..3........1.....4...87..9.14..,25,33,23,1,0,0,0,0,0,Intermediate,
9......1..15....47...5.....8.3.6.7.4.6...58...5.87...1.4.61......83......9....1..,26,45,10,0,0,0,0,0,0,Easy,
12.....3...7.6...54.9....7....2..1......4..56..1.5..9..9.....6......6.172.....4..,24,41,16,0,0,0,0,0,0,Easy,
.7.....82.......1..9..32.....5.43...9..5...7..3.7..2.....4.....21..79...5..3..1..,24,40,22,3,0,0,0,2,2,Expert,
9.....62.78......1.16................74...8.929....74.....689...4..3....8631.427.,28,53,0,0,0,0,0,0,0,Simple,
..64........93..5683.6...4............9.43...........7.6..58..3.7..2..9..8.3.62..,25,44,12,0,0,0,0,0,0,Easy,
..21.7.8..8.9..1....6.5.7.21..6...9..3...2..6...8...5....2.....5....9..3...53....,25,46,10,0,0,0,0,0,0,Easy,
4....2.91.9.5...3....3...4.....58......1.3.....84..1....4.9..6...16.4.52.6......8,26,54,19,2,0,2,1,3,2,Expert,
...8..4.2.3.........87......82..4.3.591.....8.7.1..2...57.3....4...7..9..2..1...4,26,41,13,0,0,1,0,1,0,Expert,
..........5.6..4...7.859....48....5.7.9..1...1......2...6....8..827.619.9.......5,25,34,21,2,0,1,0,1,0,Expert,
.4..3.......4.68....327...4......1.2..67......7...4.9.........8..8..364....61..37,25,37,19,1,0,0,0,0,0,Intermediate,
...3.2..91.....45.....19......9581......3....4......8..9..6.2....6..1..8..18...36,25,47,9,0,0,0,0,0,0,Easy,
.....34.....16.........8.52.3..457.....6.2..8......5....68....7.28.1..6....32....,24,53,4,0,0,0,0,0,0,Easy,
.62..3...4...82...93..67..4.......19......74.72.91.8.......8....8....6.3.4.....2.,26,49,6,0,0,0,0,0,0,Easy,
.....9....17...26.26.............17....3..84..7...4....3..974.....8....648.6.3..2,25,33,23,0,0,0,0,0,0,Easy,
3....75.6.4.5.2....2..684...9.......5.6.4.3...786.......72........3.4...9..7.6.5.,27,54,0,0,0,0,0,0,0,Simple,
.34..82..8..76......9..3.8.9.7.35...3....6.97...4..65.....24.....2.7.8...........,26,52,3,0,0,0,0,0,0,Easy,
31.75..9............5..3.....9....1....6.....8...94.6...85..9746....7..14..1..5..,25,51,26,0,1,2,0,5,4,Expert,
2...6854...3..28..6.1..539...4....2..9.6....4............2.......8.56239.5...9..8,28,107,13,4,0,1,0,10,18,Expert,
.......6...1.532..3.64......8.3..7.5...7..62..7..4.3....5.1.......5......2..8....,23,42,16,0,0,0,0,0,0,Easy,
.9.........2..5..736..2..5..5..32.61.2...174..71.4..9.....1.9..93.2.........6....,27,57,15,2,0,1,1,3,2,Expert,
9.5.....13....6...8...9.32.2....5.3....3.1.......8..1..63958......4.....1.92.3...,26,49,6,0,0,0,0,0,0,Easy,
...7..........2.46.6..5.1.8...165789...2...51.....84........5...72..9..41...7....,26,42,13,1,0,0,0,0,0,Intermediate,
..61..2.....68...3...7.2...5.2.648..6...1...5.4...8.......3.6........7.4.27....8.,25,34,20,2,0,1,0,2,0,Expert,
....7..........816..9.167..39...1.5.7...4.....6593...1..73...9....8..3...........,24,47,10,0,0,0,0,0,0,Easy,
.6...27..5...179....4.96.....62...3.......49..32....6.1..........7.4...129.....7.,25,32,24,0,2,1,0,0,0,Intermediate,
...6.3.57......16.......9....54.6239.....14..4.9.2..7.7..........39....2.....73.5,26,48,7,2,0,0,0,0,0,Intermediate,
4.3.21....7..56..3..684..2..52...86..............7.34.8....5...7.....532........6,26,35,20,0,0,0,0,0,0,Easy,
756........85.6.212...4..........46..74.5.....8..6.7....53.....84...1..5.6......2,26,22,33,0,0,0,0,0,0,Easy,
79...83.....26......37..1..91............7.62.7..5.8.1...3...8....6.....3.....59.,24,35,22,4,1,0,0,0,0,Intermediate,
....8..712......5..48.5...2..4.2...31..7..6.8.7........2...6...8.7......3....5.6.,24,32,25,0,0,0,0,0,0,Easy,
....25.......3...8......254.943.15...28....1...6.9.4...5.6...29.....2..3...4.....,25,39,16,0,0,0,0,1,0,Expert,
..71.9........8.6..4.67..1..6......9.91......8.5..7.........8.5..6....2.92.8..1..,24,35,22,0,0,0,0,0,0,Easy,
..8...9...1...92..............9.4...6..82.79..4.5..12....76....8.......1..248.5..,24,40,17,0,0,0,0,0,0,Easy,
....728.....6.139..7385..2.6...8..711.......2.5...6.8.2.6.......19............7..,26,52,20,1,0,2,0,2,2,Expert,
.26..........4..97...93.......4.....7.3.....9..1.68.....4.8....6.2...7.8.3..16...,23,40,18,0,0,0,0,0,0,Easy,
52.1..4.8.3......6....83.2..6.5...812...3........19............1.46..5...8..95...,25,75,13,1,1,0,0,5,4,Expert,
...3...82....8.1.......4....69....31...61.2..5..8.3.6...1.5.....3...2.5..8....6..,24,68,26,2,1,2,0,6,4,Expert,
.8....5..2.........9..45312.....7........48.3......9..94.....8.5....12.7..3.5.1..,24,55,2,0,0,0,0,0,0,Easy,
......4....165..3.3....129.9451.....1.7.6..5.....4....4.6....2.......1.9....37...,25,44,12,0,0,0,0,0,0,Easy,
.5......47...5.........8.....4..7.3..6..1.2..51284....2..13.76...16...8.6......2.,26,50,14,1,1,1,2,4,4,Expert,
.2.....1.5...8...6..8...95.9..1.6..865..4...1.1.72...41....2.......6.........94..,25,43,13,0,0,0,0,0,0,Easy,
48..1..6.......9.4.......8.....78..6.92.6.8...4.1....36.....719.......281.3......,25,48,8,0,0,0,0,0,0,Easy,
21..5.347..........73...6.24..56...9.9..17..5...23..7...6......53........42.9....,27,51,1,0,0,0,0,2,0,Expert,
....3.5....32...48.7.68.2...6.............15..124......2134.7....876.......8.....,25,167,50,8,0,1,0,23,40,Expert,
...5.9..76...7..43...31...5.8.......4.1......3....85....41.......9.45...5.7.9.8..,25,49,7,0,0,0,0,0,0,Easy,
4......8.....5...71.27..394..1....2....3....93.9.1.4...3.4..7.2.25............8..,25,58,16,4,1,1,1,3,2,Expert,
.4.8...52.59..18.......96.12.1.......93..4.......1...9.3..6..8..84..2.....2......,25,52,19,4,0,0,1,2,2,Expert,
4..1..8.21..7..9.......5.1....5.2..........2.....981...5..8...4.8.2.4.6.......29.,24,60,24,3,1,2,0,8,12,Expert,
4.816...3369.5.....5............498.....8...6.........6..8..4.15...1..92...3..568,27,36,18,0,0,0,0,0,0,Easy,
6..9.35...4..7.....7......3...4..29.5.96....7....2.8.6.548..3..............2...89,25,45,11,3,0,0,0,0,0,Intermediate,
..1...2...358..9...6.7.1..3.....3...7..9....2...5.............1.1.6.57....2..9635,25,38,18,1,0,1,0,0,0,Intermediate,
.5...6.3.7..2....19.4..75...65......291..5..4...3.......35........4.....1.7.9..2.,25,53,3,0,0,0,0,0,0,Easy,
9..1..5....3....7...17..9.3..639.8.5..5..4....97.8.1...3.....4.......7....9..8...,25,41,15,0,0,0,0,0,0,Easy,
3......9.8.....4.....567....5.92..3.629.5...8.3.8........3..........4..7.976.8...,25,54,2,0,0,0,0,0,0,Easy,
.57..86..........48..56...1.....259.....7..............792.....5.86.712..2..8.9..,25,68,11,1,0,1,0,6,10,Expert,
4...9..6.......7.....7.4.....1.87..22....6..7....2..15..95124........9..7..6...28,26,43,12,3,0,0,0,0,0,Intermediate,
.........5..4..7.2.64.38.....9..4...85.......4.3...9....6..3.8....8.7..9..2.69.43,26,41,13,4,0,0,0,1,0,Expert,
.15..78.97....536..3...........4.....64..9.81...5.1..7...1.....6....4.7.4..8.....,25,47,9,1,0,0,0,0,0,Intermediate,
...4......9....1...5.2.....4...6...88...2.6..56....4.3..23.5...6..8.25...1.6....9,25,48,8,0,0,0,0,0,0,Easy,
.8.967...9..8......6..5.2...4.7.1.9...6..4..21.....5.4.59..............62..1.....,24,64,10,0,1,1,0,4,4,Expert,
...6....8......92.45...8.63.9.865...2..........3.....9....9...5.2...47...39.76...,25,48,14,2,0,2,0,3,2,Expert,
.6......2..98..1..7....3.8....6....7...78.9.1...........71.94..3......2.28.......,22,41,18,2,1,1,2,0,0,Intermediate,
.46.....1.......4....2.....1..6...2....49.8....9.57.....2..1.76..7.8.5..5........,22,44,15,2,0,0,0,0,0,Intermediate,
........95.2....83......4....5...3..2..6.4..5.81.52.9...6.2.......9...183.....5..,24,57,0,0,0,0,0,0,0,Simple,
89......44.5..8.3...2.6....2........91.25.....56..4.......36.4...951.2.8.........,25,49,7,0,0,0,0,0,0,Easy,
.46..32..2...54...5.3.8.4........6...2.3..74........81.3.....2....7...15.6....3..,25,41,15,0,0,0,0,0,0,Easy,
..3.4.........89....4........83....9..54..8.7.79.5.62.2......3...7...5......9.742,25,56,0,0,0,0,0,0,0,Simple,
......3.8...9..5...87.1..46.7.....8......69.4453..........6......8....1...13.78..,24,49,8,0,0,0,0,0,0,Easy,
..36.1....87.2..4.5.........54.8...7......2...1........283.....6..15..8......43..,23,52,6,0,0,0,0,0,0,Easy,
16..........7...8..........9.....3.1...5...7.6..81......1..82.3....9..5..52.3..68,23,53,5,0,0,0,0,0,0,Easy,
.9.....21......9...2.86.....3.6.28....6.1.79...7.9823..6..2..8...4..3......4.....,26,49,6,0,0,0,1,0,0,Intermediate,
...9.8..37.9.4........5.6..47.38.5.9....7...2.925..3..........7...6.493.....95...,27,32,22,1,0,0,0,0,0,Intermediate,
.2..3.......1.56....7.9....1...6...3...75....2..9....5.652...8..12...93.98......6,26,47,8,0,0,0,0,0,0,Easy,
8..62.3..5....38....49.8..6....1...3.2.5..............1..8....235...61...6...4.5.,25,47,9,0,0,0,0,0,0,Easy,
........3.67....9...217...559...3..87......2..83.6...7.1.....6...9........8..61.9,25,58,9,0,1,0,0,2,2,Expert,
...4.831...32..7...1.6....8.81.....43......7.65.3..2.........87...5..6...2...61..,26,45,9,1,0,0,0,1,0,Expert,
